EmployeeID,FullName,FirstName,LastName,Age,Gender,JobTitle,Department,Location,EmploymentType,Salary,JoiningDate,LastWorkingDate,Active_Employee_Tenure
50171,Charles Brown,Charles,Brown,59,Female,Operations Manager,Marketing,Boston,Full-time,108690,28/05/2019,,6 years 6 months 16 days
41653,Mary Wilson,Mary,Wilson,39,Female,Accountant,Sales,Los Angeles,Full-time,53895,08/06/2020,,5 years 6 months 6 days
36344,Karen Lopez,Karen,Lopez,37,Female,HR Manager,Human Resources,San Francisco,Part-time,122552,07/10/2015,18/10/2016,
42517,William Jackson,William,Jackson,57,Male,Operations Manager,Engineering,Atlanta,Full-time,125701,01/10/2014,,11 years 2 months 13 days
36594,William Jones,William,Jones,51,Female,Operations Manager,Marketing,San Francisco,Full-time,124473,10/08/2020,,5 years 4 months 4 days
56086,Karen Davis,Karen,Davis,40,Female,Software Engineer,Engineering,Seattle,Full-time,115512,24/04/2013,,12 years 7 months 20 days
15709,Michael Wilson,Michael,Wilson,62,Female,Sales Executive,Engineering,Miami,Full-time,76873,17/10/2021,11/03/2025,
11813,William Martin,William,Martin,42,Non-binary,Support Engineer,Finance,New York,Full-time,108549,21/03/2016,,9 years 8 months 23 days
51077,William Martinez,William,Martinez,56,Female,Recruiter,Human Resources,Los Angeles,Full-time,83.9,31/03/2018,29/09/2019,
11604,Susan Garcia,Susan,Garcia,26,Male,Sales Executive,Sales,Miami,Full-time,50350,21/03/2016,09/12/2013,
11165,Linda Davis,Linda,Davis,62,Male,Operations Manager,Human Resources,New York,Full-time,121514,25/02/2021,,4 years 9 months 19 days
26954,Karen Martinez,Karen,Martinez,28,Male,HR Manager,Engineering,Seattle,Part-time,137677,25/06/2017,,8 years 5 months 19 days
15529,Jennifer Hernandez,Jennifer,Hernandez,57,Female,Sales Executive,IT,Miami,Full-time,50358,28/05/2012,11/09/2016,
30538,John Rodriguez,John,Rodriguez,58,Female,Software Engineer,Finance,Denver,Full-time,82319,20/08/2015,,10 years 3 months 24 days
45356,Karen Martinez,Karen,Martinez,52,Male,Operations Manager,IT,Boston,Full-time,112086,28/12/2018,,6 years 11 months 16 days
16226,Jennifer Anderson,Jennifer,Anderson,64,Male,Operations Manager,Marketing,New York,Contract,138744,12/06/2014,,11 years 6 months 2 days
59398,James Miller,James,Miller,46,Male,Finance Manager,Engineering,Seattle,Part-time,108585,17/04/2011,,14 years 7 months 27 days
41583,John Davis,John,Davis,41,Male,Accountant,Marketing,Austin,Contract,80323,10/05/2019,05/12/2020,
31533,Robert Jones,Robert,Jones,38,Female,HR Manager,Human Resources,San Francisco,Full-time,96.5,21/03/2016,,9 years 8 months 23 days
39623,Karen Martin,Karen,Martin,42,Female,HR Manager,Marketing,Miami,Full-time,131458,04/03/2017,,8 years 9 months 10 days
